example_id,pair_id,task_type,variant_type,baseline_prompt,compare_prompt,pooling,layer,cosine_similarity,cosine_distance
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,mechanistic,final_token,0,1.0,0.0
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,mechanistic,final_token,1,0.9982036352157593,0.0017963647842407227
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,mechanistic,final_token,2,0.9817003607749939,0.018299639225006104
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,mechanistic,final_token,3,0.9653331637382507,0.03466683626174927
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,mechanistic,final_token,4,0.9419586062431335,0.058041393756866455
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,mechanistic,final_token,5,0.9565172791481018,0.04348272085189819
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,mechanistic,final_token,6,0.968308687210083,0.03169131278991699
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,confounding_aware,final_token,0,1.0,0.0
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,confounding_aware,final_token,1,0.9986075758934021,0.0013924241065979004
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,confounding_aware,final_token,2,0.9822841286659241,0.017715871334075928
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,confounding_aware,final_token,3,0.9629861116409302,0.037013888359069824
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,confounding_aware,final_token,4,0.9589016437530518,0.04109835624694824
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,confounding_aware,final_token,5,0.9647893905639648,0.035210609436035156
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,confounding_aware,final_token,6,0.9717683792114258,0.02823162078857422
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,adversarial,final_token,0,1.0,0.0
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,adversarial,final_token,1,0.9982171058654785,0.0017828941345214844
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,adversarial,final_token,2,0.9856647849082947,0.014335215091705322
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,adversarial,final_token,3,0.9651827812194824,0.03481721878051758
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,adversarial,final_token,4,0.9661515951156616,0.03384840488433838
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,adversarial,final_token,5,0.9670987725257874,0.032901227474212646
clean_mediation_001_orig,pair_001,clean_mediation,original,direct,adversarial,final_token,6,0.9634950160980225,0.03650498390197754
confounding_002_orig,pair_002,confounding,original,direct,mechanistic,final_token,0,1.0,0.0
confounding_002_orig,pair_002,confounding,original,direct,mechanistic,final_token,1,0.9980853796005249,0.0019146203994750977
confounding_002_orig,pair_002,confounding,original,direct,mechanistic,final_token,2,0.9810821413993835,0.018917858600616455
confounding_002_orig,pair_002,confounding,original,direct,mechanistic,final_token,3,0.9654264450073242,0.03457355499267578
confounding_002_orig,pair_002,confounding,original,direct,mechanistic,final_token,4,0.933343231678009,0.06665676832199097
confounding_002_orig,pair_002,confounding,original,direct,mechanistic,final_token,5,0.951099157333374,0.04890084266662598
confounding_002_orig,pair_002,confounding,original,direct,mechanistic,final_token,6,0.9640018939971924,0.03599810600280762
confounding_002_orig,pair_002,confounding,original,direct,confounding_aware,final_token,0,1.0,0.0
confounding_002_orig,pair_002,confounding,original,direct,confounding_aware,final_token,1,0.9986811280250549,0.0013188719749450684
confounding_002_orig,pair_002,confounding,original,direct,confounding_aware,final_token,2,0.9812557101249695,0.018744289875030518
